task_id,category,difficulty,condition,trial,correctness,completeness,quality,verification,latency_seconds,execution_cost_usd,judge_cost_usd,total_cost_usd,subtask_count,reassignments,reasoning
R4,research,medium,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R4,research,medium,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R4,research,medium,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R4,research,medium,delegato,1,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R4,research,medium,delegato,2,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R4,research,medium,delegato,3,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R5,research,medium,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R5,research,medium,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R5,research,medium,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R5,research,medium,delegato,1,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R5,research,medium,delegato,2,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R5,research,medium,delegato,3,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R6,research,medium,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R6,research,medium,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R6,research,medium,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R6,research,medium,delegato,1,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R6,research,medium,delegato,2,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R6,research,medium,delegato,3,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R7,research,medium,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R7,research,medium,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R7,research,medium,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R7,research,medium,delegato,1,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R7,research,medium,delegato,2,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R7,research,medium,delegato,3,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R8,research,hard,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R8,research,hard,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R8,research,hard,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R8,research,hard,delegato,1,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R8,research,hard,delegato,2,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R8,research,hard,delegato,3,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R9,research,hard,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R9,research,hard,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R9,research,hard,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R9,research,hard,delegato,1,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R9,research,hard,delegato,2,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R9,research,hard,delegato,3,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R10,research,hard,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R10,research,hard,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R10,research,hard,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R10,research,hard,delegato,1,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R10,research,hard,delegato,2,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R10,research,hard,delegato,3,0,0,0,FAIL,0.03,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C1,coding,easy,naive,1,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C1,coding,easy,naive,2,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C1,coding,easy,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C1,coding,easy,delegato,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C1,coding,easy,delegato,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C1,coding,easy,delegato,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C2,coding,easy,naive,1,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C2,coding,easy,naive,2,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C2,coding,easy,naive,3,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C2,coding,easy,delegato,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C2,coding,easy,delegato,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C2,coding,easy,delegato,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C3,coding,easy,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C3,coding,easy,naive,2,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C3,coding,easy,naive,3,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C3,coding,easy,delegato,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C3,coding,easy,delegato,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C3,coding,easy,delegato,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C4,coding,medium,naive,1,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C4,coding,medium,naive,2,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C4,coding,medium,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C4,coding,medium,delegato,1,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C4,coding,medium,delegato,2,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C4,coding,medium,delegato,3,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C5,coding,medium,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C5,coding,medium,naive,2,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C5,coding,medium,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C5,coding,medium,delegato,1,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C5,coding,medium,delegato,2,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C5,coding,medium,delegato,3,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C6,coding,medium,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C6,coding,medium,naive,2,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C6,coding,medium,naive,3,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C6,coding,medium,delegato,1,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C6,coding,medium,delegato,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C6,coding,medium,delegato,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C7,coding,medium,naive,1,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C7,coding,medium,naive,2,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C7,coding,medium,naive,3,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C7,coding,medium,delegato,1,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C7,coding,medium,delegato,2,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C7,coding,medium,delegato,3,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C8,coding,hard,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C8,coding,hard,naive,2,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C8,coding,hard,naive,3,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C8,coding,hard,delegato,1,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C8,coding,hard,delegato,2,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C8,coding,hard,delegato,3,0,0,0,FAIL,0.02,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
C9,coding,hard,naive,1,0,0,0,FAIL,0.0,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
